symbol	ensg	mapped	log_ppm
RPS26	ENSG00000197728	True	2.5276299008713385
RPL32	ENSG00000144713	True	2.5276299008713385
GNB1	ENSG00000078369	True	2.5276299008713385
TMSB10		False	2.526339277389844
PRAP1	ENSG00000165828	True	2.525044807036845
RAB14	ENSG00000119396	True	2.5211380837040362
HNRNPA1P48		False	2.5211380837040362
PSMB1	ENSG00000008018	True	2.5211380837040362
AK2	ENSG00000004455	True	2.519827993775719
CYCS	ENSG00000172115	True	2.519827993775719
TALDO1		False	2.515873843711679
PHB		False	2.515873843711679
SELL	ENSG00000188404	True	2.513217600067939
HADHA	ENSG00000084754	True	2.513217600067939
C8A		False	2.509202522331103
SPARC	ENSG00000113140	True	2.507855871695831
RPS9	ENSG00000170889	True	2.503790683057181
CYB5R3	ENSG00000100243	True	2.5024271199844326
PSMA2	ENSG00000106588	True	2.5010592622177517
CLTC	ENSG00000141367	True	2.499687082618404
RPS11	ENSG00000142534	True	2.4983105537896004
RPL29	ENSG00000162244	True	2.496929648073215
UBA1	ENSG00000130985	True	2.496929648073215
PSMA1	ENSG00000129084	True	2.4955443375464483
SERBP1	ENSG00000142864	True	2.4955443375464483
CCT7	ENSG00000135624	True	2.494154594018443
RPL19	ENSG00000108298	True	2.494154594018443
RPS24	ENSG00000138326	True	2.494154594018443
RHOA	ENSG00000067560	True	2.4913616938342726
NME1	ENSG00000239672	True	2.4913616938342726
ENSP00000451560		False	2.4913616938342726
HNRNPM	ENSG00000099783	True	2.4899584794248346
ALDOC	ENSG00000109107	True	2.4885507165004443
PTGES3	ENSG00000110958	True	2.484299839346786
PSMA5	ENSG00000143106	True	2.482873583608754
IGKV1-33	ENSG00000242076	True	2.482873583608754
IGKV1D-33	ENSG00000239975	True	2.482873583608754
TPT1	ENSG00000133112	True	2.481442628502305
HNRNPH1	ENSG00000169045	True	2.4800069429571505
SOD2-2		False	2.4785664955938436
CA2	ENSG00000104267	True	2.4756711883244296
VDAC2	ENSG00000165637	True	2.4756711883244296
C8G	ENSG00000176919	True	2.4742162640762553
ECM1	ENSG00000143369	True	2.4742162640762553
ATP5PO	ENSG00000241837	True	2.469822015978163
RPS28	ENSG00000233927	True	2.469822015978163
SNRPE		False	2.469822015978163
IGHV3-72		False	2.4683473304121573
RPS20	ENSG00000008988	True	2.4683473304121573
RPL18A	ENSG00000105640	True	2.4683473304121573
KRT16	ENSG00000186832	True	2.4668676203541096
COX6B1	ENSG00000126267	True	2.4668676203541096
TCP1	ENSG00000120438	True	2.4638929889859074
RPL18	ENSG00000063177	True	2.462397997898956
UBE2N	ENSG00000177889	True	2.4608978427565478
PGD	ENSG00000142657	True	2.459392487759231
CAPZA1	ENSG00000116489	True	2.459392487759231
SELENOP	ENSG00000250722	True	2.459392487759231
CSRP1	ENSG00000159176	True	2.456366033129043
PSME1	ENSG00000092010	True	2.456366033129043
ANP32B	ENSG00000136938	True	2.45484486000851
PSMB3	ENSG00000277791	True	2.45484486000851
RPL9	ENSG00000163682	True	2.45484486000851
CBX3	ENSG00000122565	True	2.4533183400470375
RPS12	ENSG00000112306	True	2.45178643552429
KRT14	ENSG00000186847	True	2.4471580313422194
SUB1	ENSG00000113387	True	2.4471580313422194
RAB11B		False	2.4471580313422194
SLC25A4	ENSG00000151729	True	2.4471580313422194
ATP5F1C	ENSG00000165629	True	2.444044795918076
SRSF7	ENSG00000115875	True	2.444044795918076
CD14	ENSG00000170458	True	2.4424797690644486
PARVB	ENSG00000188677	True	2.4409090820652177
ARPC5	ENSG00000162704	True	2.439332693830263
APOB	ENSG00000084674	True	2.437750562820388
EIF4A1	ENSG00000161960	True	2.437750562820388
RPL39	ENSG00000198918	True	2.436162647040756
LTF	ENSG00000012223	True	2.432969290874406
RAB1A	ENSG00000138069	True	2.432969290874406
SHBG		False	2.4313637641589874
CST1	ENSG00000170373	True	2.428134794028789
PA2G4	ENSG00000170515	True	2.428134794028789
ALYREF	ENSG00000183684	True	2.4265112613645754
ITGB3	ENSG00000259207	True	2.423245873936808
PCNA	ENSG00000132646	True	2.4216039268698313
HADH	ENSG00000138796	True	2.4216039268698313
APOL1	ENSG00000100342	True	2.4183012913197452
RPL31	ENSG00000071082	True	2.4183012913197452
RPS2	ENSG00000140988	True	2.416640507338281
RAB11A	ENSG00000103769	True	2.4149733479708178
PSMB4	ENSG00000159377	True	2.4149733479708178
BASP1	ENSG00000176788	True	2.4149733479708178
PGK2	ENSG00000170950	True	2.4149733479708178
IGHV3-16		False	2.4149733479708178
IGHV3OR16-9		False	2.413299764081252
TUBA4B		False	2.413299764081252
PROS1	ENSG00000184500	True	2.406540180433955
GNAI2	ENSG00000114353	True	2.403120521175818
PTMA	ENSG00000187514	True	2.403120521175818
SOD2	ENSG00000291237	True	2.401400540781544
ABRACL	ENSG00000146386	True	2.401400540781544
TUBB6	ENSG00000176014	True	2.399673721481038
SNCA	ENSG00000145335	True	2.3979400086720375
STIP1	ENSG00000168439	True	2.3961993470957363
HSD17B10	ENSG00000072506	True	2.3944516808262164
PSMA6	ENSG00000100902	True	2.392696953259666
CYB5B	ENSG00000103018	True	2.392696953259666
RPL36	ENSG00000130255	True	2.3891660843645326
ATP5PD	ENSG00000167863	True	2.3891660843645326
ANXA11	ENSG00000122359	True	2.3891660843645326
HNRNPA1L2		False	2.387389826338729
GANAB	ENSG00000089597	True	2.385606273598312
KRT5	ENSG00000186081	True	2.383815365980431
