tissue	subsite_a	subsite_b	n	both	neither	only_a	only_b	agreement	kappa	frac_detected_once	auc_a_to_b	auc_b_to_a	auc_abundance_to_a	auc_abundance_to_b	disagree_Q1	disagree_Q2	disagree_Q3	disagree_Q4
colon	Colon Sigmoid	Colon Transverse	8171	6752	360	859	200	0.870395300452821	0.34301604693184506	0.13557803098194854	0.6332776682201922	0.7649970906770276	0.844788761984797	0.8460727968653673	0.35	0.11950617283950617	0.036210317460317464	0.010912698412698412
heart	Heart Atrial	Heart Ventricle	6295	5484	182	401	228	0.9000794281175536	0.3141103869389169	0.10289546867331915	0.6361312106317656	0.6878815508630872	0.8330244465826021	0.8444059993229782	0.28038585209003214	0.08857509627727857	0.025128865979381444	0.007078507078507079
skin	Skin Unexpo	Skin SunExpo	7705	6636	334	501	234	0.9046073977936405	0.42573204732924974	0.09971509971509972	0.6829694323144104	0.7589153035066218	0.8502953413508261	0.8467365411334866	0.27454068241469815	0.07777193904361535	0.019432773109243698	0.007352941176470588
