platform	arm	feature_id	uniprot	gene	ensg	n_samples	det_rate	det_rate_TDR1	det_rate_TDR4	mean_value	mean_value_detected	n_sequences	n_proteotypic	present	present_TDR1	present_TDR4
SomaScan	Media	2949-6	O15496	PLA2G10	ENSG00000069764	10.0	0.8	1.0	0.6	8.897613473321886	8.938216495349991			1	1	0
SomaScan	Media	29490-91	Q9BSG5	RTBDN	ENSG00000132026	10.0	0.4	0.4	0.4	9.638894888510915	9.700475948847705			0	0	0
SomaScan	Media	29491-55	O75711	SCRG1	ENSG00000164106	10.0	1.0	1.0	1.0	5.833462046432044	5.833462046432044			1	1	1
SomaScan	Media	29494-59	Q8TDE3	RNASE8	ENSG00000173431	10.0	0.2	0.0	0.4	8.297708712213929	8.375958723092575			0	0	0
SomaScan	Media	29495-32	P0DML3|P0DML2	CSH2|CSH1	ENSG00000213218	10.0	1.0	1.0	1.0	7.731667439615545	7.731667439615545			1	1	1
SomaScan	Media	29496-20	A6NH11	GLTPD2	ENSG00000182327	10.0	1.0	1.0	1.0	9.736236343753434	9.736236343753434			1	1	1
SomaScan	Media	29497-3	Q8N6C8	LILRA3		10.0	0.2	0.0	0.4	8.481922935126859	8.551282115092611			0	0	0
SomaScan	Media	2950-57	P22692	IGFBP4	ENSG00000141753	10.0	1.0	1.0	1.0	15.15169792548044	15.15169792548044			1	1	1
SomaScan	Media	29500-7	P07498	CSN3	ENSG00000171209	10.0	1.0	1.0	1.0	8.959837178460177	8.959837178460177			1	1	1
SomaScan	Media	29504-25	P55145	MANF	ENSG00000145050	10.0	1.0	1.0	1.0	10.304028818758614	10.304028818758614			1	1	1
SomaScan	Media	29505-21	P19835	CEL	ENSG00000170835	10.0	0.3	0.6	0.0	6.898868446695019	6.9608762619516			0	0	0
SomaScan	Media	29509-11	Q9H741	SPRING1	ENSG00000111412	10.0	1.0	1.0	1.0	9.59021249012375	9.59021249012375			1	1	1
SomaScan	Media	29515-41	P15502	ELN	ENSG00000049540	10.0	0.0	0.0	0.0	9.656987663564962				0	0	0
SomaScan	Media	2952-75	P05019	IGF1	ENSG00000017427	10.0	1.0	1.0	1.0	9.73344532639735	9.73344532639735			1	1	1
SomaScan	Media	29520-118	P00739	HPR	ENSG00000261701	10.0	0.1	0.0	0.2	9.101024619823395	9.245790362963392			0	0	0
SomaScan	Media	29523-26	Q3C1V8	BSX	ENSG00000188909	10.0	0.0	0.0	0.0	6.468996370023004				0	0	0
SomaScan	Media	29524-14	O14498	ISLR	ENSG00000129009	10.0	1.0	1.0	1.0	10.375824493795156	10.375824493795156			1	1	1
SomaScan	Media	29525-6	Q6YFQ2	COX6B2	ENSG00000160471	10.0	0.2	0.0	0.4	8.96554571687254	9.05956801122484			0	0	0
SomaScan	Media	29527-149	Q8NHW4	CCL4L1		10.0	0.8	0.8	0.8	7.729495751280905	7.754078740300858			1	1	1
SomaScan	Media	2953-31	P01229|P01215	LHB|CGA	ENSG00000104826	10.0	0.3	0.2	0.4	9.695421563780187	9.752587104625663			0	0	0
SomaScan	Media	29531-30	Q07699	SCN1B	ENSG00000105711	10.0	0.6	0.4	0.8	7.596015239182665	7.637783535405592			0	0	1
SomaScan	Media	29532-1	Q8IYP2	PRSS58	ENSG00000258223	10.0	0.3	0.2	0.4	8.798309918758196	8.86878526997921			0	0	0
SomaScan	Media	29534-9	Q9NSA1	FGF21	ENSG00000105550	10.0	0.8	0.8	0.8	8.237686909699779	8.259312016742296			1	1	1
SomaScan	Media	29537-38	P01571	IFNA17	ENSG00000234829	10.0	0.1	0.0	0.2	8.533856160016501	8.61765111942733			0	0	0
SomaScan	Media	2954-56	P22894	MMP8	ENSG00000118113	10.0	1.0	1.0	1.0	9.20888241140586	9.20888241140586			1	1	1
SomaScan	Media	29540-210	Q9BQI4	CCDC3	ENSG00000151468	10.0	0.1	0.0	0.2	6.429271982693409	6.683696454306515			0	0	0
SomaScan	Media	29542-14	Q8N9M1	C19orf47	ENSG00000160392	10.0	0.9	1.0	0.8	5.524249112901275	5.539290310022306			1	1	1
SomaScan	Media	29544-17	P08572	COL4A2	ENSG00000134871	10.0	1.0	1.0	1.0	9.725848218709704	9.725848218709704			1	1	1
SomaScan	Media	29545-91	Q02930	CREB5	ENSG00000146592	10.0	0.1	0.0	0.2	5.900646085440084	6.108524456778169			0	0	0
SomaScan	Media	29547-28	Q6H9L7	ISM2	ENSG00000100593	10.0	0.2	0.0	0.4	6.871141978857537	6.99092632664487			0	0	0
SomaScan	Media	29550-60	Q9UIV8	SERPINB13	ENSG00000197641	10.0	0.7	0.8	0.6	10.04020804999022	10.072982351732335			1	1	0
SomaScan	Media	29553-27	P04808	RLN1	ENSG00000107018	10.0	0.2	0.2	0.2	7.882320800158036	7.979726832673874			0	0	0
SomaScan	Media	29554-64	Q9BT56	SPX	ENSG00000134548	10.0	0.2	0.2	0.2	7.51332520339416	7.580446231971102			0	0	0
SomaScan	Media	29555-15	P02745	C1QA	ENSG00000173372	10.0	0.8	1.0	0.6	7.870688027983595	7.9318556781459915			1	1	0
SomaScan	Media	29556-110	Q99645	EPYC	ENSG00000083782	10.0	0.0	0.0	0.0	8.452401605052533				0	0	0
SomaScan	Media	29557-69	Q99574	SERPINI1	ENSG00000163536	10.0	0.0	0.0	0.0	7.121143974194153				0	0	0
SomaScan	Media	29559-4	P19622	EN2	ENSG00000164778	10.0	0.0	0.0	0.0	8.138842398783211				0	0	0
SomaScan	Media	29561-50	P02462	COL4A1	ENSG00000187498	10.0	0.5	0.4	0.6	7.680176556136715	7.742562270785612			0	0	0
SomaScan	Media	29563-6	P83110	HTRA3	ENSG00000170801	10.0	1.0	1.0	1.0	7.813704809981283	7.813704809981283			1	1	1
SomaScan	Media	29565-3	P55259	GP2	ENSG00000169347	10.0	0.0	0.0	0.0	6.8677970564286355				0	0	0
SomaScan	Media	29567-9	Q16378	PRR4	ENSG00000111215	10.0	0.1	0.0	0.2	7.048100079935304	7.270528942380718			0	0	0
